Inning,Over.Ball,Over,Ball,Bowler,Batter,Runs,Outcome,Is Four,Is Six,Is Wicket,Is Extra,Extra Type,Commentary
Sri Lanka Inning SL Inning 117/10 (16.4 ov),2.1,2,1,Luke Wood,Lahiru Udara,6,Six,No,Yes,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),1.6,1,6,Sonny Baker,Kamindu Mendis,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),1.5,1,5,Sonny Baker,Kamindu Mendis,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),1.4,1,4,Sonny Baker,Kamindu Mendis,4,Four,Yes,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),1.3,1,3,Sonny Baker,Kamindu Mendis,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),1.1,1,1,Sonny Baker,Kamil Mishara,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),0.6,0,6,Luke Wood,Lahiru Udara,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),0.5,0,5,Luke Wood,Kamil Mishara,5,5 runs,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),0.3,0,3,Luke Wood,Pathum Nissanka,4,Four,Yes,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),0.2,0,2,Luke Wood,Pathum Nissanka,0,no run,No,No,No,No,,
Sri Lanka Inning SL Inning 117/10 (16.4 ov),0.1,0,1,Luke Wood,Pathum Nissanka,0,no run,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),7.2,7,2,Dushmantha Chameera,Will Jacks,1,1 run,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),7.1,7,1,Dushmantha Chameera,Will Jacks,6,Six,No,Yes,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),6.6,6,6,Dunith Wellalage,Tom Banton,6,Six,No,Yes,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),6.5,6,5,Dunith Wellalage,Will Jacks,1,1 run,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),6.4,6,4,Dunith Wellalage,Tom Banton,1,1 run,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),6.3,6,3,Dunith Wellalage,Tom Banton,4,Four,Yes,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),6.2,6,2,Dunith Wellalage,Will Jacks,1,1 run,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),6.1,6,1,Dunith Wellalage,Will Jacks,2,2 runs,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),5.6,5,6,Eshan Malinga,Tom Banton,6,Six,No,Yes,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),5.5,5,5,Eshan Malinga,Tom Banton,4,Four,Yes,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),5.4,5,4,Eshan Malinga,Tom Banton,0,no run,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),5.3,5,3,Eshan Malinga,Tom Banton,0,no run,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),5.2,5,2,Eshan Malinga,Will Jacks,1,1 run,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),5.1,5,1,Eshan Malinga,Tom Banton,1,1 run,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),4.6,4,6,Tharindu Ratnayake,Will Jacks,6,Six,No,Yes,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),4.5,4,5,Tharindu Ratnayake,Will Jacks,6,Six,No,Yes,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),4.4,4,4,Tharindu Ratnayake,Tom Banton,1,1 run,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),4.3,4,3,Tharindu Ratnayake,Tom Banton,6,Six,No,Yes,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),4.2,4,2,Tharindu Ratnayake,Tom Banton,0,no run,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),4.1,4,1,Tharindu Ratnayake,Tom Banton,0,no run,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),3.6,3,6,Dunith Wellalage,Will Jacks,0,no run,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),3.5,3,5,Dunith Wellalage,Will Jacks,4,Four,Yes,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),3.4,3,4,Dunith Wellalage,Will Jacks,2,2 runs,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),3.3,3,3,Dunith Wellalage,Will Jacks,0,no run,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),3.1,3,1,Dunith Wellalage,Aneurin Donald,4,Four,Yes,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),2.6,2,6,Nuwan Thushara,Tom Banton,4,Four,Yes,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),2.5,2,5,Nuwan Thushara,Tom Banton,2,2 runs,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),2.4,2,4,Nuwan Thushara,Tom Banton,4,Four,Yes,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),2.3,2,3,Nuwan Thushara,Tom Banton,4,Four,Yes,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),2.2,2,2,Nuwan Thushara,Tom Banton,2,2 runs,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),2.2,2,2,Nuwan Thushara,Tom Banton,0,1 wide,No,No,No,Yes,wide,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),2.1,2,1,Nuwan Thushara,Tom Banton,4,Four,Yes,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),1.6,1,6,Dushmantha Chameera,Aneurin Donald,6,Six,No,Yes,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),1.5,1,5,Dushmantha Chameera,Aneurin Donald,6,Six,No,Yes,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),1.4,1,4,Dushmantha Chameera,Aneurin Donald,6,Six,No,Yes,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),1.3,1,3,Dushmantha Chameera,Aneurin Donald,4,Four,Yes,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),1.2,1,2,Dushmantha Chameera,Aneurin Donald,4,Four,Yes,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),1.1,1,1,Dushmantha Chameera,Tom Banton,1,1 run,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),0.6,0,6,Nuwan Thushara,Tom Banton,1,1 run,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),0.5,0,5,Nuwan Thushara,Tom Banton,4,Four,Yes,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),0.4,0,4,Nuwan Thushara,Tom Banton,0,no run,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),0.3,0,3,Nuwan Thushara,Aneurin Donald,1,1 run,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),0.2,0,2,Nuwan Thushara,Tom Banton,1,1 run,No,No,No,No,,
England Lions Inning ENG-L Inning 118/1 (7.2 ov),0.1,0,1,Nuwan Thushara,Tom Banton,0,no run,No,No,No,No,,
